Source,Target
btz,vxx
cjk,jcc
cjk,ftb
cjk,zpq
jkg,hnl
jkg,kzf
jkg,jtb
pjn,sjh
pjn,tmb
pjn,zvg
qpn,lgx
zmm,bmj
vdl,csd
vdl,sjh
vdl,ghg
vdl,nsv
thh,qmj
thh,bxt
thh,zgr
thh,krh
qzd,kvn
tcg,ljt
tcg,pbc
tcg,vnc
dqt,bdx
mhh,knx
lzz,mnj
lzz,jqm
lzz,htz
gxr,rdg
gdp,blx
bqg,zgx
bqg,mtk
bqg,ccm
shg,mfh
shg,dxt
shg,vkn
shg,djm
sft,gbd
drg,xfr
drg,zsv
drg,rrh
lcj,dxs
lcj,jcc
mmc,csd
mmc,qbn
kkq,kln
kkq,mbd
kkq,qnq
hnh,vpf
hnh,htf
hnh,sft
hnh,ctm
hnh,lth
hnh,hcq
hnh,ljt
gft,fhm
gft,zbv
gft,gkz
gft,bgs
gft,rmx
qvx,mpd
qvx,qqv
qvx,qch
sph,kkx
sph,tqh
sph,ddz
nlx,jll
mzf,qlk
mzf,fjd
zfj,tmm
qfk,rpn
gqc,hvj
gqc,mpj
gqc,kkq
gqc,gkg
gqc,jts
gqc,kcr
gjz,mnm
fkm,mnj
fkm,ccx
fkm,kxl
fkm,cnz
nhj,kvn
nhj,dmc
nhj,rhb
tbd,vnz
tbd,tmr
sbh,gmg
scm,zzc
scm,nrz
gmz,gtj
gmz,rjq
gmz,bpg
gmz,zcm
nlt,vvp
zfc,cmh
zfc,bsg
zfc,kcz
zfc,zcl
pdc,qfk
bsl,dng
bsl,jbb
bsl,slk
bsl,zlg
kbr,vtx
kbr,vdh
kbr,hsj
bnp,zbh
bnp,khg
bnp,vgd
cnk,hfm
cnk,zcl
cnk,tzj
cnk,crp
cnk,jpx
qrl,vqf
qrl,bbx
qrl,ptq
qrl,xcp
dtd,rvh
dtd,mfv
dtd,rms
dtd,cnp
nsb,kkr
jrk,znq
jrk,xzb
jrk,gpv
qtj,vcb
jms,vgg
jms,zcm
jms,vtx
vxv,htf
sdx,djg
sdx,nnh
sdx,bsp
sdx,mfv
dgz,xnt
dgz,vtt
kcq,rdd
kcq,qzv
kcq,jhs
vfb,mdj
vfb,svq
vfb,ptl
vfb,vvn
dbz,ttc
dbz,zlq
dbz,gsk
qrj,qzj
lkl,lqt
lkl,xkz
qqd,dcn
qqd,tmc
fkt,kgs
fkt,zfd
fkt,xnt
lhv,ktr
lhv,vgb
lmp,vkj
lmp,thx
lmp,slg
lmg,kph
lmg,jqm
lmg,hcx
krt,zxb
krt,xzk
krt,fnk
krt,zxx
krt,sft
qzv,pqt
qzv,lfv
htx,ngq
htx,lmj
gcn,xlb
gcn,bzj
gcn,xvl
gcn,jmb
dhn,rtn
dhn,vsf
dhn,bkr
dhn,hzc
knp,sqx
knp,jgc
fzb,gzf
fzb,tmc
fzb,bln
scs,rmn
scs,ppz
scs,tpb
scs,rpn
vzx,flf
vzx,mbx
vzx,tbd
vzx,kkr
vzx,gjv
xcc,sfh
xcc,jjh
xcc,zfc
nrc,ksr
nrc,mcd
nrc,lrb
nrc,xtf
nrc,pxz
nrc,qzj
jkj,vmf
jkj,bpm
jkj,dmp
jkj,jsj
ctp,bxb
jsl,gqh
xfx,kjx
fhs,gtc
fhs,ppj
fhs,rvx
fhs,tkd
fhs,slt
vgd,tmr
vgd,xrv
vgd,fsz
bxt,lgx
txb,xkn
hnq,kfb
hnq,jqm
ths,hhh
ths,fzf
ths,pdt
ths,dst
phk,vgf
phk,jzh
phk,zxg
phk,lzp
cxh,phh
cxh,mxr
cxh,flg
tzh,zzv
tzh,hbj
tzh,bdx
tzh,znr
vzf,qgl
vzf,vlh
vzf,dpr
xcm,ldt
xcm,gth
xcm,ljh
jvr,mlk
jvr,rff
jvr,jcc
bjt,hlz
bjt,bgk
bjt,tml
bjt,mgp
scx,bvg
scx,nzv
scx,rcs
scx,flr
scx,zbq
scx,bnm
bjz,nmx
bjz,cgs
bsb,hrn
gcg,prv
gcg,lrd
qxm,bpz
hhv,ktr
mnc,lrn
mnc,rff
hmt,bpm
hmt,nqn
hmt,rjv
hmt,mgp
thx,bpg
nbd,lgz
nbd,bqz
nbd,psh
nbd,djp
nbd,mgh
cll,chf
cll,kbq
cll,rzn
cll,rsf
zzx,ccn
zzx,qxl
zzx,mqc
znq,hkq
znq,xdk
bdj,cjc
sdt,qtf
sdt,sph
sdt,lpv
hdv,xfl
hdv,pfm
hdv,bmn
kck,vjj
kck,xjf
lgg,jgk
lgg,hhh
lgg,znr
lgg,djd
tlt,xgq
tlt,tjd
tlt,vvv
tlt,bsp
tlt,kjg
pgb,lmj
gvb,kfb
qpx,bxm
qpx,knx
qpx,xrv
qpx,bdj
rsp,xsg
gnb,tvj
gnb,rmn
gnb,nfv
gnb,xjt
gnb,nvc
glt,skp
glt,hfh
glt,qvb
klv,ndh
klv,cvp
klv,mlk
klv,dqv
lmj,xph
qmj,jtb
jgt,tpr
vlq,qtj
vlq,shb
vlq,xsd
rgk,qvz
rgk,fgj
rgk,pfm
mbh,sbl
pqt,fcv
pqt,zmm
hfs,rcg
hfs,ljd
hfs,rrv
hfs,mbm
xsg,mkx
ckv,bsn
ckv,sfh
ckv,rms
ckv,tzt
zbh,tqm
crr,kcz
crr,ldf
rhs,rvx
rhs,jgc
rhs,pxd
rhs,bjz
hzm,rft
hzm,fnd
hzm,lqt
mqc,xgk
mqc,ctc
zzq,rmb
zzq,bfh
zzq,jrk
zzq,ndr
zzq,rpn
tpb,bzk
tpb,glv
tpb,gxr
vrr,rrb
vrr,spv
szl,kbq
szl,ggd
szl,kcn
szl,nrv
szl,dtt
xlr,bzk
xlr,gpq
gzl,pzk
mbr,htv
mbr,jkg
zpm,rlv
mbg,lph
mbg,zvg
mbg,ttd
mvs,zlg
mvs,ghg
mvs,kcn
ckc,drf
ckc,hcq
jxd,ssf
jxd,rmx
jxd,nkt
ltd,mbh
ltd,nlz
cfq,gjz
cfq,bsh
cfq,hlr
qjq,cmh
qjq,lsq
jxf,chf
jxf,tnf
jxf,qqv
cgv,vpj
cgv,zhd
hzk,rhr
hzk,brs
hzk,rsj
hzk,lrn
btx,qxr
lcq,mdd
lcq,xrg
kjx,cbj
kjx,qmq
kjx,lzd
qfq,tfg
qfq,mjk
njv,trl
njv,xxl
njv,sst
vmg,ffb
vmg,vzb
vmg,hhd
zkn,zbq
zkn,dkm
zkn,psh
zkn,vdh
gcp,dhn
gcp,qmz
gcp,rsj
gcp,ptf
fnk,hqv
fnk,qtz
fnk,qqv
vvk,nrv
